id,order_num,date,total
157,141450,29/04/23 22:07,"עכבר  Genius NX-7000 Black
                            

מק""ט: US-240



                            ₪28
                        
2

₪56










                                צורב פנימי RW Bulk -/+LITEON 5.25 SATA III X24 DVD
                            

מק""ט: 22201



                            ₪49
                        
1

₪49










                                סט אלחוטי שחור Lenovo 510 Wireless Set Heb/Eng
                            

מק""ט: LN-KM510B



                            ₪85
                        
1

₪85"
158,141637,30/04/23 19:14,"מסך DELL MONITOR 23.8 FHD IPS 8ms 75Hz HDMI
                            

מק""ט: DLM-S2421H



                            ₪419
                        
1

₪419










                                באנדל חלקים Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333



                            ₪899
                        
1

₪899"
159,142257,04/05/23 10:09,"באנדל חלקים Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333



                            ₪899
                        
1

₪899"
160,142258,04/05/23 10:14,"באנדל חלקים Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333



                            ₪899
                        
1

₪899"
162,143654,15/05/23 17:27,"מארז וספק SOLID 1700 12CM 500W ATX
                            

מק""ט: 931610



                            ₪159
                        
1

₪159










                                מעבד INTEL Core i5-11400 Rocket Lake Tray 12MB LGA1200 65W
                            

מק""ט: II511400T



                            ₪499
                        
1

₪499










                                לוח דור 11/10 Gigabyte H510M H 1.5 Micro-Atx LGA1200 PCIE4.0X16
                            

מק""ט: 95H51000



                            ₪269
                        
1

₪269"
163,144253,21/05/23 13:24,"סט אלחוטי שחור Lenovo 510 Wireless Set Heb/Eng
                            

מק""ט: LN-KM510B



                            ₪85
                        
1

₪85










                                באנדל חלקים Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333



                            ₪899
                        
1

₪899










                                מסך Lenovo C27-40 FHD 4ms 75hz VA HDMI VGA
                            

מק""ט: LNM-2740



                            ₪429
                        
1

₪429"
164,145317,30/05/23 20:56,"חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪930
                        
1

₪930"
165,146266,07/06/23 10:44,"רמקולים Logitech Z200 2.0 Multimedia Speakers Black
                            

מק""ט: LOG-200



                            ₪118
                        
1

₪118"
166,146760,11/06/23 15:47,"דיסק לנייח 3.5 Western Digital 8TB Purple 7200RPM 256MB Cache
                            

מק""ט: WD8001PURP



                            ₪740
                        
1

₪740"
167,147927,19/06/23 22:20,"מסך Solid H2380 FHD VA 7Ms VGA HDMI Speakers Vesa Frameless Black
                            

מק""ט: SLM-H2380



                            ₪252
                        
1

₪252"
168,150473,08/07/23 18:16,"מארז וספק SOLID 1700 12CM 500W ATX
                            

מק""ט: 931610



                            ₪159
                        
1

₪159










                                דיסק פנימי SAMSUNG MZ-V7S2T0BW EVO970PLUS 2TB
                            

מק""ט: SSD-V7S2T0BW



                            ₪419
                        
1

₪419










                                נייח מורכב NX201 600W B660M DS3H I5-12400F A400I 16GB 1TB 1650
                            

מק""ט: CG-40232



                            ₪2,170
                        
1

₪2,170"
171,156887,28/08/23 19:33,"שנאי אוניברסלי למחשב נייד EZcool Power Adapter AD-805
                            

מק""ט: 29252



                            ₪89
                        
1

₪89










                                נייד GIGABYTE G5 i5-12500H 32GB 512NVME RTX 4050 WIN11 FHD 144Hz
                            

מק""ט: GBN-G5-2333SH32



                            ₪3,490
                        
1

₪3,490"
173,157133,30/08/23 10:55,"נתב אלחוטי Cudy WR3000 AX3000 WiFi6 Multi Router/Repeater/AP
                            

מק""ט: CD-WR3000



                            ₪213
                        
1

₪213"
174,157925,05/09/23 12:01,"חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪970
                        
1

₪970"
175,158319,08/09/23 16:29,"נייד GIGABYTE G5 i5-12500H 16GB 512NVME RTX 4060 DOS FHD 144Hz
                            

מק""ט: GBN-G5-3313SD



                            ₪3,590
                        
1

₪3,590










                                עכבר אלחוטי Logitech M170 Gray
                            

מק""ט: LOG-170MG



                            ₪35
                        
2

₪70"
176,158544,10/09/23 18:36,"מסך Solid G2145 VA FHD VA 7ms Vga Hdmi Speakers Frameless
                            

מק""ט: SLM-F2145



                            ₪249
                        
1

₪249"
178,159452,18/09/23 19:59,"כבל VGA 1.8M
                            

מק""ט: 29102



                            ₪11
                        
2

₪22










                                חלקי מחשב בנדל Sama+500W H410M S2H i3-10105 A30 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪999
                        
1

₪999"
179,159659,19/09/23 21:28,"באנדל חלקים SOLID/SAMA 500W H410M S2H i5-10400 A30P 8GB 500GB NVM
                            

מק""ט: MC-1040020



                            ₪1,129
                        
1

₪1,129










                                מחשב מורכב Solid1700 500w psu H410M H i3-10100 i50 8GB 500NVME
                            

מק""ט: MC-1010333H



                            ₪970
                        
1

₪970"
181,160662,30/09/23 22:34,"באנדל חלקים Solid/SAMA 500W H610M H DDR4 i3-12100 8GB 500NVME
                            

מק""ט: MC-123000



                            ₪1,059
                        
1

₪1,059"
183,164055,30/10/23 09:38,"דיסק פנימי 2.5 Kingston A400 480GB SSD 3D NAND
                            

מק""ט: KING-SSD480A4



                            ₪129
                        
2

₪258










                                מודם סלולרי 4G LTE USB Modem
                            

מק""ט: 4GLTE-USB



                            ₪99
                        
1

₪99"
184,164367,31/10/23 18:58,"צורב פנימי RW Bulk -/+LITEON 5.25 SATA III X24 DVD
                            

מק""ט: 22201



                            ₪57
                        
2

₪114










                                חלקי מחשב בנדל SOLID+500W H410M S2H i3-10105 A30P 8GB 500NVME
                            

מק""ט: MC-1010550



                            ₪999
                        
1

₪999"
185,166264,14/11/23 21:46,"זכרון לנייח קיט G.SKILL KIT 16GB 2x8 DDR4 3200Mhz RGB
                            

מק""ט: SK163216GTZR



                            ₪229
                        
1

₪229










                                כרטיס מסך Gigabyte GTX 1650 4GB DDR6 GV-N1656OC-4GD 17CM DVI DP H
                            

מק""ט: GVN16546



                            ₪755
                        
1

₪755










                                ספק כוח לנייח Antec CSK 650W 80Plus Bronze 12CM Silent flat cable
                            

מק""ט: AN2-CSK6500



                            ₪198
                        
1

₪198










                                מעבד אינטל דור 12 INTEL I5-12400 Tray 6CRS 117W LGA1700
                            

מק""ט: II512400T



                            ₪629
                        
1

₪629










                                קירור אוויר למעבד Cooler Master HYPER 212 Black Edition
                            

מק""ט: CLM-F2150



                            ₪149
                        
1

₪149










                                לוח לאינטל דור 12 Gigabyte H610M H DDR4 V2 REV1.0 VGA HDMI
                            

מק""ט: 95H61004



                            ₪339
                        
1

₪339"
186,170549,12/12/23 22:33,"Solid F270M FHD VA 5ms VGA HDMI Speakers SuperSlim Frameless Blac
                            

מק""ט: SLM-F270M



                            ₪339
                        
1

₪339"
187,170656,13/12/23 13:33,"כרטיס רשת אלחוטי TP-LINK ARCHER T2U Nano AC600
                            

מק""ט: 916062



                            ₪59
                        
1

₪59










                                מסך MAG G24IPS 75HZ FHD IPS 5MS Speakers HDMI VGA
                            

מק""ט: MAG-G24IPS



                            ₪310
                        
1

₪310"
188,170951,14/12/23 20:54,"דיסק SAMSUNG EVO870 1TB 2.5 SSD SATA III
                            

מק""ט: SSD-SM87E1T



                            ₪339
                        
1

₪339"
189,171938,21/12/23 09:39,"דיסק פנימי 2.5 Kingston A400 480GB SSD 3D NAND
                            

מק""ט: KING-SSD480A4



                            ₪119
                        
2

₪238










                                מקלדת חוטית Genius KB-118 II USB HEB ENG BLACK
                            

מק""ט: US-118



                            ₪25
                        
1

₪25"
190,172162,23/12/23 21:01,"סט מקלדת ועכבר אל חוטי Microsoft Wireless Desktop 900
                            

מק""ט: 9M901



                            ₪129
                        
1

₪129










                                זכרון לנייח קיט G.SKILL KIT 16GB 2x8 DDR4 3200Mhz RGB
                            

מק""ט: SK163216GTZR



                            ₪209
                        
1

₪209










                                קירור נוזלי Cooler Master ML240L ARGB MASTER LIQUID V2
                            

מק""ט: CLM-L2424



                            ₪285
                        
1

₪285










                                מסך גיימינג Gigabyte G32QC 2K QHD VA 31.5 1ms 165Hz HDR400 Curved
                            

מק""ט: GBM-3202



                            ₪1,199
                        
1

₪1,199










                                ספק כוח לנייח Antec CSK 650W 80Plus Bronze 12CM Silent flat cable
                            

מק""ט: AN2-CSK6500



                            ₪198
                        
1

₪198










                                מעבד אינטל דור 12 INTEL I5-12400 Tray 6CRS 117W LGA1700
                            

מק""ט: II512400T



                            ₪595
                        
1

₪595










                                כרטיס מסך Gigabyte RTX 3050 EAGLE OC 8GB PCIE 4.0
                            

מק""ט: GVN3050805



                            ₪1,029
                        
1

₪1,029










                                דיסק פנימי Kingston NV2 1TB NVME GEN 4.0 4X4 M.2 2280
                            

מק""ט: KSSD-SNV2S1000



                            ₪209
                        
1

₪209










                                מארז ANTEC AX51 Mid-Tower Gaming Case ATX
                            

מק""ט: AN1-AX51



                            ₪169
                        
1

₪169










                                לוח למעבדי אינטל Gigabyte H610M S2H V2 Micro-ATX VGA DVI DP HDMI
                            

מק""ט: 95H61008



                            ₪339
                        
1

₪339










                                עכבר אלחוטי Genius NX-8008S Black
                            

מק""ט: US-8008



                            ₪29
                        
3

₪87"
